441769.241638,238078.21641
156798.671541,507798.748965
479889.834624,464607.770729
80424.0666514,123521.699748
808479.865143,922031.443027
702923.665683,380368.661375
249473.192909,713115.715999
173050.122875,101204.808612
715843.712865,570782.671798
51007.4863297,252078.075904
911676.928358,208435.324295
582832.846142,480227.82908
887313.407058,546030.348641
470025.788148,623779.139198
22573.9291236,598656.845642
190060.327079,594689.218935
839958.761434,179069.717412
357057.295496,646203.268744
569191.864625,939497.024196
306300.998435,638124.700432
